sampleNames,totalReads,alignmentRate_cerevisiae,mappedReads_cerevisiae,alignmentRate_pombe,mappedReads_pombe
L1,12599149,71.83,9049738,23.14,2915534
L2,51926993,84.92,44096256,9.6,4983241
L3,16208373,23.28,3772650,75.04,12163426
L4,12797068,83.4,10673122,11.49,1470372
L5,10596904,28.76,3047260,67.9,7195738
L6,10196596,76.52,7802682,14.76,1505156
L7,12016462,16.48,1980762,80.05,9618786
L8,12186741,83.35,10157286,11.79,1437066
U1,25260730,68.71,17356859,17.18,4340556
U2,14038207,68.24,9580244,22.55,3165556
U3,11058025,73.02,8074778,19.29,2133042
U4,13503927,69.93,9443276,22.55,3044782
U5,10196621,65.44,6672378,24.96,2544900
U6,11114424,53.17,5909081,31.15,3461850
U7,11631499,73.05,8496396,20.19,2348132
U8,14812878,64.92,9616027,29.21,4326230
T1,9854898,70.57,6954680,18.81,1853334
T2,12443367,72.17,8980534,17.95,2233310
T3,12102064,65.39,7914114,26.92,3258316
T4,10502793,69.05,7252272,24.4,2562562
T5,11326246,65.17,7380838,23.95,2712779
T6,63206382,63.93,40406502,25.2,15924918
T7,13201095,66.19,8737300,27.15,3584650
T8,12298474,66.58,8188652,26.6,3271137