,cluster,TF,overlap,TFtargetYes_clusterNo,clusterYes_TFtargetNo,neither,p,FDR,logFDR
1,1,Ada2,21,128,78,1305,0.00029432,0.042983016,1.366703116
2,1,Bdf1,54,580,45,1093,6.72E-05,0.011779208,1.928883893
3,1,Bdf2,50,221,49,1255,2.65E-15,1.03E-12,11.98592487
4,1,Bur6,39,370,60,1220,0.000394548,0.056444467,1.24837862
5,1,Ccl1,83,592,16,1153,3.46E-23,1.73E-20,19.7618937
6,1,Cet1,90,2076,9,636,0.000237047,0.036123967,1.442204564
7,1,CTDSer5,79,626,20,1190,3.16E-19,1.30E-16,15.88566246
8,1,CTDSer7,78,528,21,1193,1.48E-21,6.90E-19,18.16124004
9,1,Eaf6,7,8,92,1317,2.59E-05,0.004771136,2.321378201
10,1,Esa1,15,64,84,1305,0.000139153,0.022169565,1.654242834
11,1,Fhl1,27,107,72,1314,1.83E-08,5.14E-06,5.288712011
12,1,God1,11,51,88,1296,0.002378,0.320572737,0.494073415
13,1,Hmo1,18,45,81,1315,4.28E-08,1.11E-05,4.953413164
14,1,Ifh1,21,83,78,1314,1.27E-06,0.000286405,3.543020044
15,1,Kin28,93,1927,6,678,4.14E-07,9.68E-05,4.014171885
16,1,Mot1,32,317,67,1236,0.004911085,0.625940069,0.203467247
17,1,Ncb2,33,227,66,1268,1.26E-05,0.002395885,2.620534101
18,1,Pob3,35,253,64,1296,7.83E-06,0.001524765,2.816797177
19,1,Rad3,91,2038,8,655,3.56E-05,0.00639827,2.193937444
20,1,RPB11,44,436,55,1250,8.19E-05,0.013821581,1.859442275
21,1,Rpb2,59,587,40,1216,7.42E-08,1.86E-05,4.731037064
22,1,Rpb3,60,838,39,1141,0.000272089,0.040581781,1.391668897
23,1,Rpb4,48,518,51,1237,8.97E-05,0.014627365,1.83483389
24,1,Rpb7,54,533,45,1211,1.31E-06,0.000286405,3.543020044
25,1,Rpb9,48,446,51,1250,3.94E-06,0.000811737,3.090584583
26,1,Rpo21,26,227,73,1297,0.003283569,0.434298481,0.36221169
27,1,Sfp1,15,32,84,1314,1.47E-07,3.55E-05,4.449799202
28,1,Sgf11,21,122,78,1305,0.000169861,0.026460521,1.577401606
29,1,Sgf29,36,171,63,1305,9.12E-10,2.78E-07,6.556102365
30,1,Sgf73,21,171,78,1291,0.006650011,0.832438868,0.07964765
31,1,Spt15,81,978,18,1003,6.22E-11,2.08E-08,7.682838124
32,1,Ssl1,88,1723,11,758,6.19E-06,0.001240593,2.906370546
33,1,Ssl2,93,2598,6,478,0.003926575,0.509727604,0.292661847
34,1,Stb3,14,36,85,1316,2.30E-06,0.000489522,3.310227996
35,1,Sub1,58,526,41,1209,1.54E-08,4.48E-06,5.348343237
36,1,Taf1,55,102,44,1306,6.01E-32,7.02E-29,28.15366059
37,1,Taf10,60,168,39,1282,3.87E-28,2.47E-25,24.60789207
38,1,Taf11,47,74,52,1309,1.38E-28,9.65E-26,25.01540125
39,1,Taf12,63,154,36,1292,7.88E-33,1.10E-29,28.95673309
40,1,Taf13,61,112,38,1302,1.15E-36,6.16E-33,32.2102566
41,1,Taf14,54,88,45,1310,2.66E-33,4.66E-30,29.33197953
42,1,Taf2,77,521,22,1153,2.78E-20,1.22E-17,16.91472144
43,1,Taf3,78,468,21,1200,5.37E-24,3.14E-21,20.5034916
44,1,Taf4,59,202,40,1272,6.42E-24,3.46E-21,20.46060497
45,1,Taf5,59,116,40,1301,6.87E-34,1.60E-30,29.7946155
46,1,Taf6,62,120,37,1300,1.76E-36,6.16E-33,32.2102566
47,1,TAF7,59,143,40,1303,2.67E-30,2.34E-27,26.63079625
48,1,Taf8,66,206,33,1269,5.53E-30,4.31E-27,26.36571816
49,1,Taf9,63,171,36,1284,9.13E-31,9.15E-28,27.03867917
50,1,TFA1,91,2141,8,572,0.000510539,0.071577622,1.145222732
51,1,Tfb1,85,1066,14,952,9.74E-12,3.41E-09,8.466619833
52,1,Tfb2,87,1274,12,882,7.16E-10,2.28E-07,6.64175414
53,1,Tfb3,90,1576,9,772,4.29E-08,1.11E-05,4.953413164
54,1,Tfg1,91,2570,8,461,0.028347043,1,0
55,1,TOA1,87,989,12,1001,4.29E-15,1.58E-12,11.80007553
56,1,Vid21,5,19,94,1311,0.021295435,1,0
57,1,Ydr1,22,154,77,1283,0.001137497,0.156350082,0.805901887
58,1,Yng2,11,32,88,1312,8.28E-05,0.013821581,1.859442275
59,2,Rvb1,42,313,111,1178,0.042944163,1,0
60,6,Hht2,2,0,202,1213,0.020639212,1,0
61,6,Mig3,2,0,202,1213,0.020639212,1,0
62,6,Skp1,2,0,202,1213,0.020639212,1,0