TF,label1,label2
Ada2,SAGA,"SLIK, ADA"
Bdf1,TFIID,
Bdf2,TFIID,
Bur6,NC2,
Ccl1,TFIIH,
Cet1,Pol II pausing,
CTDSer5,Pol II,
CTDSer7,Pol II,
Eaf6,NUA4,
Esa1,NUA4,
Fhl1,RP regulation,
God1,"SWR1, NUA4",
Hht2,Nucleosomes,
Hmo1,RP regulation,
Ifh1,RP regulation,
Kin28,TFIIH,
Mig3,"Transcriptional corepressor, Damage response",
Mot1,SNF/SWI,TBP
Ncb2,NC2,TBP
Pob3,FACT,
Rad3,TFIIH,NEF3
RPB11,Pol II,
Rpb2,Pol II,
Rpb3,Pol II,
Rpb4,Pol II,
Rpb7,Pol II,
Rpb9,Pol II,
Rpo21,Pol II,
Rvb1,SWR1,
Sfp1,RP regulation,
Sgf11,SAGA,
Sgf29,SAGA,
Sgf73,SAGA,
Skp1,Kinetochore protein,
Spt15,TBP,
Ssl1,TFIIH,
Ssl2,TFIIH,
Stb3,rRNA binding,
Sub1,Pol II elongation,
Taf1,"TFIID, SAGA",
Taf10,"TFIID, SAGA",
Taf11,TFIID,
Taf12,"TFIID, SAGA",
Taf13,TFIID,
Taf14,TFIID,"TFIIF, INO80, SNF/SWI"
Taf2,TFIID,
Taf3,TFIID,
Taf4,TFIID,
Taf5,"TFIID, SAGA",
Taf6,"TFIID, SAGA",
TAF7,TFIID,
Taf8,TFIID,
Taf9,"TFIID, SAGA",
TFA1,TFIIE,
Tfb1,TFIIH,
Tfb2,TFIIH,
Tfb3,TFIIH,
Tfg1,TFIIF,
TOA1,TFIIA,
Vid21,NUA4,
Ydr1,NC2,
Yng2,NUA4,