gene,time
YOR142W,<1
YEL035C,<1
YHL040C,<1
YHR020W,<1
YLL026W,<1
YOL004W,<1
YJL165C,<1
YNL055C,<1
YGR211W,<1
YBR150C,<1
YCL057W,<1
YBR109C,<1
YLR348C,<1
YOR141C,<1
YHR051W,<1
YNR003W-A,<1
YJL078C,<1
YOR293W,<1
YGR155W,<1
YPL003W,<1
YLR008C,<1
YJR057W,<1
YJL100W,<1
YDR264C,<1
YPR190C,<1
YDR009W,<1
YCL057C-A,<1
YER178W,<1
YOR136W,<1
YGR035C,<1
YOL101C,<1
YDR127W,<1
YKL213C,<1
YPL231W,<1
YAL060W,<1
YBL005W-A,<1
YBL005W-B,<1
YER163C,<1
YHR019C,<1
YHL032C,<1
YBR126C,<1
YPL158C,<1
YLL039C,<1
YNL186W,<1
YDR237W,<1
YDL095W,<1
YDL067C,<1
YHR043C,<1
YOR343W-A,<1
YOR343W-B,<1
YOR185C,<1
YBR199W,<1
YLR395C,<1
YKL020C,<1
YMR036C,<1
YPL078C,<1
YPR108W,<1
YHL003C,<1
YER032W,<1
YDR231C,<1
YPL117C,<1
YMR196W,<1
YIL115C,<1
YDR394W,<1
YDL097C,<1
YDR186C,<1
YML018C,<1
YML128C,<1
YER103W,<1
YGR116W,<1
YPL011C,<1
YHR161C,<1
YDR377W,<1
YOR330C,<1
YKR093W,<1
YMR315W,<1
YLR194C,<1
YHR001W-A,<1
YER119C,<1
YDR405W,<1
YDR046C,<1
YGL115W,<1
YIL091C,<1
YIL158W,<1
YBL085W,<1
YHL026C,<1
YCR081C-A,<1
YGR257C,<1
YPL151C,<1
YDR452W,<1
YFL052W,<1
YDR210W-A,<1
YDR210W-B,<1
YPL022W,<1
YKL100C,<1
YKL196C,<1
YJL089W,<1
YHR012W,<1
YLR400W,<1
YJL177W,<1
YDL010W,<1
YOL086W-A,<1
YML117W,<1
YPL004C,<1
YOL123W,<1
YFL010C,<1
YLR214W,<1
YDR516C,<1
YPL010W,<1
YOR260W,<1
YLR299C-A,<1
YGR082W,<1
YNL277W,<1
YCL049C,<1
YMR002W,<1
YPL178W,<1
YKL085W,<1
YOR220W,<1
YLR078C,<1
YLR255C,<1
YBR139W,<1
YER031C,<1
YJL166W,<1
YOL081W,<1
YDL198C,<1
YJL168C,<1
YNL098C,<1
YOR230W,<1
YGL062W,<1
YAL043C,<1
YML120C,<1
YBL022C,<1
YBL041W,<1
snR48,<1
YKL195W,<1
YER001W,<1
YJL141C,<1
YOR259C,<1
YDR208W,<1
YDL078C,<1
YAL042W,<1
YHR208W,<1
YHR136C,<1
YER120W,<1
YNL091W,<1
YGL208W,<1
YPR191W,<1
YPL066W,<1
YJL174W,<1
YBR101C,<1
YOL027C,<1
YPL201C,<1
YOL020W,<1
YGL112C,<1
YOL062C,<1
YHR024C,<1
YPL222C-A,<1
YGL111W,<1
YEL015W,<1
YOL061W,<1
YPR083W,<1
snR31,<1
YIR011C,<1
YLR079W,<1
YDR529C,<1
YGR181W,<1
YHR025W,<1
YBL010C,<1
YLR438C-A,<1
YLL029W,<1
YGR081C,<1
YDR095C,<1
YLR085C,<1
YNL034W,<1
YJR104C,<1
YHR116W,<1
YIL089W,<1
YDR067C,<1
YIR012W,<1
YPL186C,<1
YDL099W,<1
YJL042W,<1
YDL126C,<1
YGL035C,<1
YPL156C,<1
YER015W,<1
YDL022W,<1
YMR060C,<1
YML115C,<1
YLR245C,<1
YGR084C,<1
YKR006C,<1
YOR132W,<1
YNL138W,<1
YDR032C,<1
YGR086C,<1
YFL014W,<1
YMR276W,<1
YHL021C,<1
YGR209C,<1
YDR272W,<1
YOR257W,<1
YDR071C,<1
YCR003W,<1
YKR007W,<1
YMR143W,<1
YJL140W,<1
YLR170C,<1
YOR332W,<1
YDR086C,<1
YDR502C,<1
YDR487C,<1
YJL188C,<1
YOL110W,<1
YDL040C,<1
YER130C,<1
YHL020C,<1
snR5,<1
YPL188W,<1
YBR071W,<1
YGR008C,<1
YEL024W,<1
YGL037C,<1
YGR161W-A,<1
YGR161W-B,<1
YDR120C,<1
YDR527W,<1
YKR067W,<1
YCL009C,<1
YBL015W,<1
YOR285W,<1
YDR135C,<1
YBL029C-A,<1
YPL118W,<1
YNR066C,<1
YKL068W-A,<1
YPL237W,<1
YLR192C,<1
YIL047C,<1
YLR406C,<1
YLR208W,<1
YLR259C,<1
YNL153C,<1
YCR005C,<1
YPL163C,<1
YPL225W,<1
YBR189W,<1
YHR183W,<1
YDR276C,<1
YML054C,<1
YMR049C,<1
YDL127W,<1
YFL030W,<1
YDR155C,<1
YJL171C,<1
YHL035C,<1
YFL018C,<1
YMR226C,<1
YDR145W,<1
YDR244W,<1
YBL006C,<1
YDR297W,<1
YDR204W,<1
YHR033W,<1
YHR039C-A,<1
YML073C,<1
YGR204W,<1
YHR032C-A,<1
YPL249C-A,<1
YBR012W-A,<1
YBR012W-B,<1
YCR082W,<1
YJR148W,<1
YLR246W,<1
YPR082C,<1
YPL028W,<1
YBL101C,<1
YBL064C,<1
YGL073W,<1
YML042W,<1
YPL111W,<1
YDR365W-A,<1
YDR365W-B,<1
YGL121C,<1
YLR139C,<1
YCL028W,<1
YDL110C,<1
tI(UAU)D,<1
YBR085C-A,<1
YDL082W,<1
YGL097W,<1
YBL033C,<1
YBL087C,<1
YDR129C,<1
YML010W,<1
YNL046W,<1
YLR094C,<1
YNL208W,<1
YLR344W,<1
YDR429C,<1
YKR087C,<1
YER063W,<1
YML081C-A,<1
YBL058W,<1
YKL017C,<1
YNL216W,<1
YNL096C,<1
YPL105C,<1
YML052W,<1
YIR017W-A,<1
YNL306W,<1
YBL100W-C,<1
YBR011C,<1
YOR362C,<1
YIL064W,<1
YGR214W,<1
YJR105W,<1
YNR067C,<1
YPR036W-A,<1
YJR021C,<1
YBL071W-A,<1
YBR293W,<1
YDR025W,<1
YMR253C,<1
YOR312C,<1
YIL148W,<1
YGL181W,<1
YGR085C,<1
YOR254C,<1
YDR010C,<1
YKL179C,<1
YMR146C,<1
YLR295C,<1
YOL121C,<1
YDR041W,<1
YER056C-A,<1
YFR005C,<1
YPR145W,<1
YER124C,<1
YER177W,<1
YFR051C,<1
YBR077C,<1
YKL180W,<1
YGL228W,<1
YNL222W,<1
YNL159C,<1
YDR471W,<1
YGR118W,<1
YBR109W-A,<1
YNL069C,<1
YKL006W,<1
YMR246W,<1
YJL027C,<1
YJR077C,<1
YNL079C,<1
YLR287C-A,<1
YNL045W,<1
YBR078W,<1
YER189W,<1
YPR043W,<1
YDR004W,<1
YJL052C-A,<1
YHR050W-A,<1
snR56,<1
YGR161W-C,<1
YNL067W-A,<1
YPL135C-A,<1
YBL071C-B,<1
snR18,<1
snR47,<1
YMR251W-A,<1
YGR035W-A,<1
YCL025C,<1
YLR327C,<1
YLR140W,<1
YJR108W,<1
YLR061W,<1
snR8,<1
YKL044W,<1
tD(GUC)N,<1
YLL041C,<1
YHR218W,<1
YOR199W,<1
YDL004W,<1
YLR264W,<1
YER165W,<1
YPL221W,<1
YOR207C,<1
YMR081C,<1
YPL054W,<1
snR51,<1
YDL047W,<1
YPR070W,<1
YGR231C,<1
YHR101C,<1
YCR028C,<1
YEL061C,<1
YGR092W,<1
YKL005C,<1
YGR156W,<1
YML111W,<1
YJL035C,<1
YMR005W,<1
YMR189W,<1
YPR127W,<1
YDR063W,<1
YER074W-A,<1
YGR232W,<1
YBR135W,<1
YDR150W,<1
YCR031C,<1
YMR305C,<1
YJL079C,<1
YER074W,<1
YKL135C,<1
YER081W,<1
YKL067W,<1
YDR347W,<1
YHR162W,<1
YFL045C,<1
YAR018C,<1
YDR296W,<1
YPR035W,<1
YHR045W,<1
YLR018C,<1
YNL031C,<1
YOL007C,<1
YER138W-A,<1
YML035C,<1
YDR111C,<1
YPL106C,<1
YKR014C,<1
YMR008C,<1
YDL145C,<1
YER138C,<1
YER137C-A,<1
YNL007C,<1
YER053C,<1
YFL034C-B,<1
YLR432W,<1
YOR208W,<1
YHR007C,<1
YDR373W,<1
YGR198W,<1
YBR001C,<1
YLR254C,<1
YNL276C,<1
YBR203W,<1
YJL146W,<1
YJR054W,<1
YPR069C,<1
YLR130C,<1
YLR222C,<1
YGR252W,<1
YCR024C-A,<1
YOR018W,<1
YKL096C-B,<1
YLR393W,<1
YDL148C,<1
YOR187W,<1
YLR257W,<1
YHR129C,<1
YER079W,<1
YNL299W,<1
YOR052C,<1
YLR168C,<1
YLR437C,<1
YNL231C,<1
YPR010C-A,<1
YKR096W,<1
YGR046W,<1
YLR390W-A,<1
YGL077C,<1
YLL028W,<1
YPL092W,<1
YOR347C,<1
YNL189W,<1
YIL070C,<1
YLR225C,<1
YGR054W,<1
YOL113W,<1
YGR244C,<1
YER099C,<1
YEL063C,<1
YNL043C,<1
YOR396W,<1
YJL098W,<1
YNR017W,<1
YOR101W,<1
YDL049C,<1
YMR216C,<1
YOR097C,<1
YMR121C,<1
YDR279W,<1
YJR096W,<1
YOR183W,<1
YIL134C-A,<1
YPL142C,<1
YOL077W-A,<1
YEL071W,<1
YKL141W,<1
YKR091W,<1
YKR001C,<1
YPR137W,<1
YBR121C,<1
YGL147C,<1
YKR101W,<1
YDR447C,<1
YDR334W,<1
YEL052W,<1
YDL052C,<1
YKL069W,<1
YDR277C,<1
YGR057C,<1
YNL300W,<1
YOL114C,<1
YFL005W,<1
YGR203W,<1
YKL010C,<1
YBR022W,<1
YMR131C,<1
YOR095C,<1
YJR092W,<1
YBR172C,<1
YLR023C,<1
YML087C,<1
YPL242C,<1
YBR032W,<1
YIL078W,<1
YGR125W,<1
YKL216W,<1
YKL039W,<1
YOR270C,<1
YKL104C,<1
YGR127W,<1
YOR168W,<1
YDR229W,<1
YMR267W,<1
snR50,<1
YMR181C,<1
YPR033C,<1
YER176W,<1
YBR248C,<1
YBR023C,<1
YJL125C,<1
YPL133C,<1
snR68,<1
YJL039C,<1
YFL008W,<1
YER052C,<1
YNL024C-A,<1
YBR039W,<1
YHR010W,<1
YGL161C,<1
YCR095C,<1
YMR016C,<1
YMR080C,<1
YNL009W,<1
YGL195W,<1
YHR164C,<1
YJR008W,<1
YPL125W,<1
YBR283C,<1
YKR097W,<1
YBL047C,<1
YFL032W,<1
YOR048C,<1
YFL038C,<1
YPR006C,<1
YDL120W,<1
YLR206W,<1
YIR039C,<1
YMR205C,<1
YGR147C,<1
YPR023C,<1
YHR142W,<1
YKR071C,<1
YHR087W,<1
YMR113W,<1
YDL080C,<1
YLR034C,<1
YLL043W,<1
YCR035C,<1
YDR040C,<1
YER116C,<1
YGR283C,<1
YMR172W,<1
YJR040W,<1
YKL009W,<1
YNL160W,<1
YJL012C,<1
YER002W,<1
YEL055C,<1
YHL006C,<1
YGR142W,<1
snR87,<1
YDR473C,<1
YGL040C,<1
YLR297W,<1
YDR441C,<1
YLR045C,<1
YDL130W-A,<1
YDR045C,<1
YFL037W,<1
YDL215C,<1
YDL051W,<1
YDR099W,<1
YLL008W,<1
YMR155W,<1
YPL257W,<1
YHL024W,<1
YJL161W,<1
YKL051W,<1
YGR266W,<1
YOR326W,<1
YCR017C,<1
YHL015W,<1
YPR002W,<1
YDR144C,<1
YNL130C,<1
YPL246C,<1
YPL083C,<1
YPL058C,<1
YDL028C,<1
YMR015C,<1
YMR078C,<1
YGL116W,<1
YMR195W,<1
YPR169W-A,<1
YPR170W-B,<1
YGR245C,<1
YDL207W,<1
YGR027W-A,<1
YGR027W-B,<1
YJL104W,<1
YLR044C,<1
YAR027W,<1
YLR420W,<1
YMR183C,<1
YNL062C,<1
YNL003C,<1
YJR007W,<1
YNL061W,<1
YLR212C,<1
YCR097W,<1
YKR080W,<1
YML068W,<1
YOR030W,<1
YOR288C,<1
YGR060W,<1
YPR135W,<1
YDL121C,<1
YAL053W,<1
YGL010W,<1
YJL133W,<1
YCR011C,<1
YKL186C,<1
YKR092C,<1
YPR020W,<1
YPR151C,<1
YER021W,<1
YHR073W,<1
YKR059W,<1
YMR123W,<1
YGR123C,<1
YBL066C,<1
YHR143W-A,<1
YLR405W,<1
YOR017W,<1
YER141W,<1
YLR196W,<1
YAL036C,<1
YGR024C,<1
YKR026C,<1
YDL046W,<1
YLR035C-A,<1
YKL062W,<1
YNL001W,<1
YDR494W,<1
YHR068W,<1
snR69,<1
YGR099W,<1
YOR372C,<1
YPL220W,<1
YIL143C,<1
YGL107C,<1
YNL002C,<1
YER127W,<1
YKR090W,<1
YPR158W-A,<1
YPR158W-B,<1
YER087C-B,<1
YJL123C,<1
YPL013C,<1
YDL045W-A,<1
YDL185W,<1
YER012W,<1
YOR239W,<1
YOR110W,<1
YOR302W,<1
YOR145C,<1
YIL130W,<1
YEL029C,<1
YHR112C,<1
YDR089W,<1
YCR028C-A,<1
YER056C,<1
YHR018C,<1
YOR388C,<1
YJL102W,<1
YMR027W,<1
YPR149W,<1
YCR037C,<1
YGL120C,<1
YLR064W,<1
YOL076W,<1
YOR181W,<1
YDL234C,<1
YDR185C,<1
YHR186C,<1
YJL008C,<1
YOL052C,<1
YMR286W,<1
YBR102C,<1
YMR193W,<1
YOR069W,<1
YPR154W,<1
YDL074C,<1
YHL033C,<1
YKL130C,<1
YOL077C,<1
YOR335C,<1
YGL172W,<1
YHR026W,<1
YBL056W,<1
YJR014W,<1
YLR083C,<1
YOR058C,<1
YOR243C,<1
YNL212W,<1
YKL197C,<1
YPR065W,<1
YDR085C,<1
YER126C,<1
YOL144W,<1
YOL010W,<1
YHL011C,<1
YER144C,<1
YNL313C,<1
YNL032W,<1
YCR010C,<1
YDL211C,<1
YPR112C,<1
YER140W,<1
YLL009C,<1
YGL105W,<1
YLR330W,<1
YNL040W,<1
YPL114W,<1
YDR411C,<1
YLR247C,<1
YOR205C,<1
YEL021W,<1
YKL128C,<1
YPL009C,<1
YPR118W,<1
YCL037C,<1
YER122C,<1
YBR251W,<1
YER049W,<1
YOR244W,<1
YGR167W,<1
YJR133W,<1
YPR041W,<1
YLR132C,<1
YBL040C,<1
YGR279C,<1
YHR193C,<1
YMR200W,<1
YBR238C,<1
YNL125C,<1
YNL127W,<1
YFR031C-A,<1
YNL280C,<1
YGR173W,<1
YOR004W,<1
YDL142C,<1
YDR451C,<1
YGL020C,<1
YGR161C,<1
YLR038C,<1
YOR035C,<1
YKL112W,<1
YOR112W,<1
YMR319C,<1
YIL108W,<1
YDR322C-A,<1
YFL022C,<1
YLR210W,<1
YML048W,<1
YDR233C,<1
YMR318C,<1
YLR220W,<1
YIL137C,<1
YLR209C,<1
YFL013C,<1
YGL179C,<1
YMR098C,<1
YDL178W,<1
YGL080W,<1
YJR137C,<1
YNL024C,<1
YOR143C,<1
YOR002W,<1
YMR236W,<1
YPL228W,<1
YBL061C,<1
YDL167C,<1
YGL011C,<1
YGL191W,<1
YDR514C,<1
YGL070C,<1
YLR095C,<1
YBL004W,<1
YJL132W,<1
YJL070C,<1
YNL248C,<1
YNL074C,<1
YOR206W,<1
YPL183W-A,<1
YBR196C,<1
YBL068W,<1
YBR163W,<1
YBR183W,<1
YIL022W,<1
YCR096C,<1
YJR109C,<1
YOL090W,<1
YGR038C-B,<1
YGR038C-A,<1
YOR224C,<1
YJR112W,<1
YMR213W,<1
YDR294C,<1
YKR081C,<1
YAL061W,<1
YBR096W,<1
YIR010W,<1
YJR066W,<1
YNL247W,<1
YCR018C-A,<1
YGR119C,<1
YGR180C,<1
YMR256C,<1
YPR120C,<1
YDR221W,<1
YHR114W,<1
YOR290C,<1
YJL095W,<1
YGR282C,<1
YLR099C,<1
YCL020W,<1
YCL019W,<1
YGL106W,<1
YOR305W,<1
YLL067C,<1
YPR158C-C,<1
YPR158C-D,<1
YDR055W,<1
YIL002W-A,<1
YHR148W,<1
YML129C,<1
YML009C,<1
YOR261C,<1
YBR149W,<1
YER136W,<1
YGR195W,<1
YBL111C,<1
YJR016C,<1
YML053C,<1
YNL245C,<1
YER016W,<1
YLR279W,<1
YNL059C,<1
snR64,<1
YLR363W-A,<1
YLR291C,<1
YDR395W,<1
YJL082W,<1
YJR051W,<1
YKR069W,<1
YAL014C,<1
YAR007C,<1
YBR069C,<1
YIL162W,<1
YLR109W,<1
YMR048W,<1
YPL014W,<1
YBR127C,<1
YER043C,<1
YLR058C,<1
YGL130W,<1
YLR120W-A,<1
YNL073W,<1
YDR426C,<1
YML064C,<1
YBL043W,<1
YNL131W,<1
YDR329C,<1
YIL033C,<1
YJL107C,<1
YNL255C,<1
YDR165W,<1
YER171W,<1
YOR197W,<1
YPL215W,<1
YML105C,<1
YLR258W,<1
YOR099W,<1
YGR200C,<1
YJR065C,<1
YNR045W,<1
YPL030W,<1
YPL064C,<1
YDL155W,<1
YDL147W,<1
YGL068W,<1
YDR475C,<1
YBR072W,<1
YML027W,<1
YJR042W,<1
YBR154C,<1
YEL057C,<1
YJR070C,<1
YJL183W,<1
YLR227W-A,<1
YLR227W-B,<1
YPL170W,<1
YBR042C,<1
YGR172C,<1
YAL013W,<1
YLR150W,<1
YHR207C,<1
YLR216C,<1
YOR196C,<1
YPR174C,<1
YBR171W,<1
YKR047W,<1
YNL256W,<1
YOR194C,<1
YOR279C,<1
YPL245W,<1
YDL166C,<1
YOR159C,<1
YOR216C,<1
YBR142W,<1
YLL001W,<1
YCL044C,<1
YFR015C,<1
YKR018C,<1
YMR053C,<1
YDR280W,<1
YJL122W,<1
YHR147C,<1
YGR212W,<1
YKL126W,<1
YKL124W,<1
YNL228W,<1
YNL217W,<1
YLR065C,<1
YGL022W,<1
YGL056C,<1
YGL038C,<1
snR128,<1
YNL312W,<1
YPR158W,<1
YER050C,<1
YDL179W,<1
YMR291W,<1
YOR204W,<1
YPR133W-A,<1
YPR016C,<1
YHR069C,<1
YPL189C-A,<1
YGL002W,<1
YKL137W,<1
YML119W,<1
YER055C,<1
YGL123W,<1
YNR009W,<1
YMR218C,<1
YDR469W,<1
YOR289W,<1
YHL034C,<1
YKR075C,<1
YGL205W,<1
YHL027W,<1
YML116W,<1
YML112W,<1
YPL097W,<1
YAL035W,<1
YDR110W,<1
YKL163W,<1
YMR128W,<1
YKL193C,<1
YDR508C,<1
YER044C,<1
YCR020W-B,<1
YIL110W,<1
YDR486C,<1
YPL235W,<1
YKL068W,<1
YKR008W,<1
YKL138C-A,<1
YKL106C-A,<1
YDR245W,<1
YFR010W,<1
YMR147W,<1
YNL056W,<1
YNR012W,<1
YNR038W,<1
YBR296C,<1
YDR532C,<1
YNR029C,<1
YOR027W,<1
YDR105C,<1
YBL079W,<1
YBR187W,<1
YHR113W,<1
YCR030C,<1
YDL002C,<1
YJL010C,<1
YGR135W,<1
YJR032W,<1
YDR309C,<1
YER133W,<1
YMR297W,<1
YPL001W,<1
YDL231C,<1
YDR319C,<1
YJL059W,<1
YML017W,<1
YML125C,<1
YMR116C,<1
YER068W,<1
YJR060W,<1
YPR161C,<1
YGL085W,<1
YLR062C,<1
YGR093W,<1
YNL281W,<1
YCR020C-A,<1
YER018C,<1
YGL087C,<1
YER030W,<1
YHR088W,<1
YNL048W,<1
YCR057C,<1
YLR421C,<1
YPL098C,<1
YHR104W,<1
YGR207C,<1
YPR088C,<1
YDL182W,<1
YLR300W,<1
YKR045C,<1
YOL070C,<1
YOR167C,<1
YCL030C,<1
YGR005C,<1
YJR139C,<1
YEL011W,<1
YFR004W,<1
YOL058W,<1
YOR202W,<1
YOR299W,<1
YPR028W,<1
YER091C,<1
YKL029C,<1
YLR153C,<1
YPL099C,<1
YPL173W,<1
YBR025C,<1
YER009W,<1
YGL086W,<1
YHR163W,<1
YCL008C,<1
YNL290W,<1
YBR288C,<1
YER151C,<1
YGR159C,<1
YKL013C,<1
YLR093C,<1
YNR054C,<1
YOR340C,<1
YDR197W,<1
YIL142W,<1
YHR070W,<1
YOR264W,<1
YLR325C,<1
YPL090C,<1
YBL026W,<1
YOR036W,<1
YCL031C,<1
YGR006W,<1
YNL309W,<1
YNL039W,<1
YCL002C,<1
YDR017C,<1
YCR036W,<1
YJL051W,<1
YLR025W,<1
YCL011C,<1
YLR350W,<1
YDR370C,<1
YGL013C,<1
YDL128W,<1
YMR215W,<1
YNL209W,<1
YHR028C,<1
YMR031C,<1
YKL120W,<1
YNL323W,<1
YPL273W,<1
snR84,<1
YGL048C,<1
YLR180W,<1
YPR062W,<1
YIL034C,<1
YDR483W,<1
YJL076W,<1
YLR068W,<1
YER160C,<1
YER159C-A,<1
YMR091C,<1
YMR235C,<1
YMR285C,<1
YNR053C,<1
YMR076C,<1
YNL282W,<1
YLR364C-A,<1
YMR243C,<1
YBR289W,<1
YLR413W,<1
YKR024C,<1
YBR159W,<1
YDL108W,<1
YIL128W,<1
YLL006W,<1
YHR203C,<1
YKL023C-A,<1
YDL195W,<1
YGR136W,<1
YNL243W,<1
YBR029C,<1
YKL142W,<1
YMR149W,<1
YNL010W,<1
YER156C,<1
YGL009C,<1
YDL124W,<1
