time,ratio,replicate,factorName
0,0,rep1,TBP
10,0,rep1,TBP
20,0.093684,rep1,TBP
25,0.190802,rep1,TBP
30,0.425989,rep1,TBP
40,0.74185,rep1,TBP
60,0.874882,rep1,TBP
90,1.121761,rep1,TBP
120,1,rep1,TBP
0,0,rep2,TBP
10,0,rep2,TBP
20,0.040079,rep2,TBP
25,0.185583,rep2,TBP
30,0.35953,rep2,TBP
40,0.662228,rep2,TBP
60,0.994678,rep2,TBP
90,1.05218,rep2,TBP
120,1,rep2,TBP
0,0,rep1,TFIIA
10,0,rep1,TFIIA
20,0.036484691,rep1,TFIIA
25,0.114118592,rep1,TFIIA
30,0.321693153,rep1,TFIIA
40,0.608830331,rep1,TFIIA
60,1.095767314,rep1,TFIIA
90,2.134905861,rep1,TFIIA
120,2.294283901,rep1,TFIIA
0,0,rep2,TFIIA
10,0,rep2,TFIIA
20,0,rep2,TFIIA
25,0.074866269,rep2,TFIIA
30,0.286640196,rep2,TFIIA
40,0.459941891,rep2,TFIIA
60,0.907844697,rep2,TFIIA
90,1.971607052,rep2,TFIIA
120,2.225315342,rep2,TFIIA
0,0,rep1,TFIIB
10,0.011479091,rep1,TFIIB
20,0.043817601,rep1,TFIIB
25,0.184786787,rep1,TFIIB
30,0.29423086,rep1,TFIIB
40,0.529051112,rep1,TFIIB
60,1.289597494,rep1,TFIIB
90,1.521276468,rep1,TFIIB
120,1.462888473,rep1,TFIIB
0,0,rep2,TFIIB
10,0.005403095,rep2,TFIIB
20,0.032419645,rep2,TFIIB
25,0.191316377,rep2,TFIIB
30,0.424834896,rep2,TFIIB
40,0.616911209,rep2,TFIIB
60,1.23712285,rep2,TFIIB
90,1.657715188,rep2,TFIIB
120,1.604739,rep2,TFIIB
0,0,rep1,TFIIE
10,0,rep1,TFIIE
20,0.22686095,rep1,TFIIE
25,0.346707683,rep1,TFIIE
30,0.492650831,rep1,TFIIE
40,0.718364746,rep1,TFIIE
60,1.166874178,rep1,TFIIE
90,1.456803667,rep1,TFIIE
120,1.512289301,rep1,TFIIE
0,0,rep2,TFIIE
10,0.012107915,rep2,TFIIE
20,0.164467875,rep2,TFIIE
25,0.287818104,rep2,TFIIE
30,0.431220345,rep2,TFIIE
40,0.678421173,rep2,TFIIE
60,1.032642188,rep2,TFIIE
90,1.434587741,rep2,TFIIE
120,1.484415561,rep2,TFIIE
0,0,rep1,TFIIF
10,0.015363357,rep1,TFIIF
20,0.011356767,rep1,TFIIF
25,0.031515149,rep1,TFIIF
30,0.215959134,rep1,TFIIF
40,1.548664834,rep1,TFIIF
60,2.400820629,rep1,TFIIF
90,2.638021907,rep1,TFIIF
120,2.640217188,rep1,TFIIF
0,0,rep2,TFIIF
10,0.006753719,rep2,TFIIF
20,0.015644287,rep2,TFIIF
25,0.04189423,rep2,TFIIF
30,0.087611921,rep2,TFIIF
40,0.97027638,rep2,TFIIF
60,2.582641178,rep2,TFIIF
90,2.947659484,rep2,TFIIF
120,3.068794661,rep2,TFIIF